variant,dataset,patch,lr,n_embd,n_layer,n_head,run,accuracy
QKV,mnist,4,0.001,64,2,4,0,0.9833
QKV,fmnist,4,0.001,64,2,4,0,0.8880
QKV,cifar10,4,0.001,64,2,4,0,0.7229
QKV,cifar100,4,0.001,64,2,4,0,0.4460
Q=K!=V,mnist,4,0.001,64,2,4,0,0.9823
Q=K!=V,fmnist,4,0.001,64,2,4,0,0.8858
Q=K!=V,cifar10,4,0.001,64,2,4,0,0.7207
Q=K!=V,cifar100,4,0.001,64,2,4,0,0.4443
(Q=K!=V)+,mnist,4,0.001,64,2,4,0,0.9833
(Q=K!=V)+,fmnist,4,0.001,64,2,4,0,0.8842
(Q=K!=V)+,cifar10,4,0.001,64,2,4,0,0.7069
(Q=K!=V)+,cifar100,4,0.001,64,2,4,0,0.4445
Q!=K=V,mnist,4,0.001,64,2,4,0,0.9832
Q!=K=V,fmnist,4,0.001,64,2,4,0,0.8873
Q!=K=V,cifar10,4,0.001,64,2,4,0,0.7097
Q!=K=V,cifar100,4,0.001,64,2,4,0,0.4455
Q=K=V,mnist,4,0.001,64,2,4,0,0.9838
Q=K=V,fmnist,4,0.001,64,2,4,0,0.8793
Q=K=V,cifar10,4,0.001,64,2,4,0,0.7150
Q=K=V,cifar100,4,0.001,64,2,4,0,0.4176
(Q=K=V)+,mnist,4,0.001,64,2,4,0,0.9724
(Q=K=V)+,fmnist,4,0.001,64,2,4,0,0.8797
(Q=K=V)+,cifar10,4,0.001,64,2,4,0,0.6947
(Q=K=V)+,cifar100,4,0.001,64,2,4,0,0.4394
