variant,dataset,patch,lr,n_embd,n_layer,n_head,run,accuracy
QKV,mnist,4,0.001,64,2,2,0,0.9828
QKV,fmnist,4,0.001,64,2,2,0,0.8869
QKV,cifar10,4,0.001,64,2,2,0,0.6898
QKV,cifar100,4,0.001,64,2,2,0,0.4336
Q=K!=V,mnist,4,0.001,64,2,2,0,0.9805
Q=K!=V,fmnist,4,0.001,64,2,2,0,0.8817
Q=K!=V,cifar10,4,0.001,64,2,2,0,0.6979
Q=K!=V,cifar100,4,0.001,64,2,2,0,0.4368
(Q=K!=V)+,mnist,4,0.001,64,2,2,0,0.9828
(Q=K!=V)+,fmnist,4,0.001,64,2,2,0,0.8765
(Q=K!=V)+,cifar10,4,0.001,64,2,2,0,0.6900
(Q=K!=V)+,cifar100,4,0.001,64,2,2,0,0.4163
Q!=K=V,mnist,4,0.001,64,2,2,0,0.9795
Q!=K=V,fmnist,4,0.001,64,2,2,0,0.8870
Q!=K=V,cifar10,4,0.001,64,2,2,0,0.6926
Q!=K=V,cifar100,4,0.001,64,2,2,0,0.4266
Q=K=V,mnist,4,0.001,64,2,2,0,0.9802
Q=K=V,fmnist,4,0.001,64,2,2,0,0.8785
Q=K=V,cifar10,4,0.001,64,2,2,0,0.6960
Q=K=V,cifar100,4,0.001,64,2,2,0,0.4001
(Q=K=V)+,mnist,4,0.001,64,2,2,0,0.9815
(Q=K=V)+,fmnist,4,0.001,64,2,2,0,0.8735
(Q=K=V)+,cifar10,4,0.001,64,2,2,0,0.6930
(Q=K=V)+,cifar100,4,0.001,64,2,2,0,0.4240
