variant,dataset,patch,lr,n_embd,n_layer,n_head,run,accuracy
QKV,tinyimagenet,16,0.0001,768,12,12,0,0.3308
(Q=K=V)+,tinyimagenet,16,0.0001,768,12,12,0,0.3424
