variant,dataset,patch,lr,n_embd,n_layer,n_head,run,accuracy
QKV,mnist,4,0.001,256,2,4,0,0.9831
QKV,fmnist,4,0.001,256,2,4,0,0.8862
QKV,cifar10,4,0.001,256,2,4,0,0.7015
QKV,cifar100,4,0.001,256,2,4,0,0.4425
Q=K!=V,mnist,4,0.001,256,2,4,0,0.9854
Q=K!=V,fmnist,4,0.001,256,2,4,0,0.8829
Q=K!=V,cifar10,4,0.001,256,2,4,0,0.7331
Q=K!=V,cifar100,4,0.001,256,2,4,0,0.4747
(Q=K!=V)+,mnist,4,0.001,256,2,4,0,0.9849
(Q=K!=V)+,fmnist,4,0.001,256,2,4,0,0.8815
(Q=K!=V)+,cifar10,4,0.001,256,2,4,0,0.6675
(Q=K!=V)+,cifar100,4,0.001,256,2,4,0,0.4158
Q!=K=V,mnist,4,0.001,256,2,4,0,0.9783
Q!=K=V,fmnist,4,0.001,256,2,4,0,0.8819
Q!=K=V,cifar10,4,0.001,256,2,4,0,0.7001
Q!=K=V,cifar100,4,0.001,256,2,4,0,0.4480
Q=K=V,mnist,4,0.001,256,2,4,0,0.9831
Q=K=V,fmnist,4,0.001,256,2,4,0,0.8845
Q=K=V,cifar10,4,0.001,256,2,4,0,0.7257
Q=K=V,cifar100,4,0.001,256,2,4,0,0.4537
(Q=K=V)+,mnist,4,0.001,256,2,4,0,0.9827
(Q=K=V)+,fmnist,4,0.001,256,2,4,0,0.8759
(Q=K=V)+,cifar10,4,0.001,256,2,4,0,0.6658
(Q=K=V)+,cifar100,4,0.001,256,2,4,0,0.3908
